,domains,domains_descr,slots,slots_descr,slots_type
314,Homes_2,Service for finding properties to buy and rent,intent,Whether to buy or rent a property,Boolean
315,Homes_2,Service for finding properties to buy and rent,area,City where the property is located,Location
316,Homes_2,Service for finding properties to buy and rent,address,Street address of property,Location
317,Homes_2,Service for finding properties to buy and rent,property_name,Name of property or apartment complex,Name
318,Homes_2,Service for finding properties to buy and rent,phone_number,Contact number of property or apartment complex,Phone
319,Homes_2,Service for finding properties to buy and rent,has_garage,Whether the property has a garage,Boolean
320,Homes_2,Service for finding properties to buy and rent,in_unit_laundry,Whether the property has in-unit laundry facilities,Boolean
321,Homes_2,Service for finding properties to buy and rent,price,Sale price or per-month rent of property,Number
322,Homes_2,Service for finding properties to buy and rent,visit_date,Date for visit to the property,Day
323,Homes_2,Service for finding properties to buy and rent,number_of_beds,Number of bedrooms in the property,Number
324,Homes_2,Service for finding properties to buy and rent,number_of_baths,Number of bathroom in the property,Number
325,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",title,Title of the movie,Name
326,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",genre,Category of the content,Category
327,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",subtitle_language,Language of the subtitles,Category
328,Media_3,"Enjoy instant and unlimited access to best shows, movies, comedy, sports, documentaries and more.",starring,Celebs acting in the movie,Name
329,Messaging_1,Connect and share locations with your contacts,location,Location to share with contact,Location
330,Messaging_1,Connect and share locations with your contacts,contact_name,Name of contact to send to,Name
331,Movies_3,A review-aggregation website for movies and television,movie_title,Name of the movie,Name
332,Movies_3,A review-aggregation website for movies and television,genre,Type of the movie,Category
333,Movies_3,A review-aggregation website for movies and television,percent_rating,Average critic percentage rating,Number
334,Movies_3,A review-aggregation website for movies and television,cast,Actors in the movie,Name
335,Movies_3,A review-aggregation website for movies and television,directed_by,Director of the movie,Name
336,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",track,Name of the song,Name
337,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",artist,Performer's name,Name
338,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",album,Collection of the song,Name
339,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",genre,Type of the music,Category
340,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",year,Year when the song was first released,Day
341,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",device,Place or name of the media player to play the song selected,Category
342,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",payment_method,The source of money used for making the payment,Category
343,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",amount,The amount of money to send or request,Number
344,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",receiver,Name of the contact or account to make the transaction with,Name
345,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",private_visibility,Whether the transaction is private or not,Boolean
346,RentalCars_3,A leading global provider of car rental solutions,car_type,Type of the car,Category
347,RentalCars_3,A leading global provider of car rental solutions,car_name,Car model,Name
348,RentalCars_3,A leading global provider of car rental solutions,pickup_location,Place to pick up the car,Location
349,RentalCars_3,A leading global provider of car rental solutions,start_date,The first date to start using the rental car,Day
350,RentalCars_3,A leading global provider of car rental solutions,pickup_time,Time for the pick-up,Time
351,RentalCars_3,A leading global provider of car rental solutions,city,City where you want to rent the car,Location
352,RentalCars_3,A leading global provider of car rental solutions,end_date,The date to return the car,Day
353,RentalCars_3,A leading global provider of car rental solutions,price_per_day,The cost for renting the car per day,Number
354,RentalCars_3,A leading global provider of car rental solutions,add_insurance,Whether to purchase insurance,Boolean
355,Trains_1,Service to find and reserve train journeys between cities,from,Starting city for train journey,Location
356,Trains_1,Service to find and reserve train journeys between cities,to,Ending city for train journey,Location
357,Trains_1,Service to find and reserve train journeys between cities,from_station,Name of station at starting city,Location
358,Trains_1,Service to find and reserve train journeys between cities,to_station,Name of station at ending city,Location
359,Trains_1,Service to find and reserve train journeys between cities,date_of_journey,Date of train journey,Day
360,Trains_1,Service to find and reserve train journeys between cities,journey_start_time,Time of start of train journey,Time
361,Trains_1,Service to find and reserve train journeys between cities,total,Total price of train reservation,Number
362,Trains_1,Service to find and reserve train journeys between cities,number_of_adults,Number of adults to reserve train tickets for,Number
363,Trains_1,Service to find and reserve train journeys between cities,class,Fare class for train reservation,Category
364,Trains_1,Service to find and reserve train journeys between cities,trip_protection,"Whether to add trip protection to reservation, for a fee",Boolean
365,hotel,hotel reservations and vacation stays,hotel-pricerange,price budget of the hotel,Number
366,hotel,hotel reservations and vacation stays,hotel-type,what is the type of the hotel,Category
367,hotel,hotel reservations and vacation stays,hotel-parking,whether the hotel has parking,Boolean
368,hotel,hotel reservations and vacation stays,hotel-bookday,day of the hotel booking,Day
369,hotel,hotel reservations and vacation stays,hotel-bookpeople,number of people for the hotel booking,Number
370,hotel,hotel reservations and vacation stays,hotel-bookstay,length of stay at the hotel,Number
371,hotel,hotel reservations and vacation stays,hotel-stars,star rating of the hotel,Number
372,hotel,hotel reservations and vacation stays,hotel-internet,whether the hotel has internet,Boolean
373,hotel,hotel reservations and vacation stays,hotel-name,name of the hotel,Name
374,hotel,hotel reservations and vacation stays,hotel-area,area or place of the hotel,Location
375,hotel,hotel reservations and vacation stays,hotel-address,address of the hotel,Location
376,hotel,hotel reservations and vacation stays,hotel-phone,phone number of the hotel,Phone
377,hotel,hotel reservations and vacation stays,hotel-postcode,postal code of the hotel,Others
378,hotel,hotel reservations and vacation stays,hotel-ref,reference number of the hotel booking,Others
379,train,find trains that take you to places,train-arriveby,arrival time of the train,Time
380,train,find trains that take you to places,train-departure,departure location of the train,Location
381,train,find trains that take you to places,train-day,day of the train,Day
382,train,find trains that take you to places,train-bookpeople,how many train tickets you need,Number
383,train,find trains that take you to places,train-leaveat,leaving time for the train,Time
384,train,find trains that take you to places,train-destination,destination of the train,Location
385,train,find trains that take you to places,train-trainid,id of the train,Others
386,train,find trains that take you to places,train-ref,reference number of the train booking,Others
387,train,find trains that take you to places,train-price,price of the train,Number
388,train,find trains that take you to places,train-duration,duration of the travel,Number
389,attraction,find touristy stuff to do around you,attraction-area,area to search for attractions,Location
390,attraction,find touristy stuff to do around you,attraction-name,name of the attraction,Name
391,attraction,find touristy stuff to do around you,attraction-type,type of the attraction,Category
392,attraction,find touristy stuff to do around you,attraction-entrancefee,how much is the entrance fee,Number
393,attraction,find touristy stuff to do around you,attraction-openhours,open hours of the attraction,Number
394,attraction,find touristy stuff to do around you,attraction-address,address of the attraction,Location
395,attraction,find touristy stuff to do around you,attraction-phone,phone number of the attraction,Phone
396,attraction,find touristy stuff to do around you,attraction-postcode,postal code of the attraction,Others
397,restaurant,find places to dine and whet your appetite,restaurant-pricerange,price budget for the restaurant,Number
398,restaurant,find places to dine and whet your appetite,restaurant-area,area or place of the restaurant,Location
399,restaurant,find places to dine and whet your appetite,restaurant-food,the cuisine of the restaurant you are looking for,Category
400,restaurant,find places to dine and whet your appetite,restaurant-name,name of the restaurant,Name
401,restaurant,find places to dine and whet your appetite,restaurant-bookday,day of the restaurant booking,Day
402,restaurant,find places to dine and whet your appetite,restaurant-bookpeople,how many people for the restaurant reservation,Number
403,restaurant,find places to dine and whet your appetite,restaurant-booktime,time of the restaurant booking,Time
404,restaurant,find places to dine and whet your appetite,restaurant-address,address of the restaurant,Location
405,restaurant,find places to dine and whet your appetite,restaurant-phone,phone number of the restaurant,Phone
406,restaurant,find places to dine and whet your appetite,restaurant-postcode,postal code of the restaurant,Others
407,restaurant,find places to dine and whet your appetite,restaurant-ref,reference number of the restaurant booking,Others
408,hospital,making you feel better when you are ill,hospital-department,type of medical care,Category
409,hospital,making you feel better when you are ill,hospital-address,address of the hospital,Location
410,hospital,making you feel better when you are ill,hospital-phone,phone number of the hospital,Phone
411,hospital,making you feel better when you are ill,hospital-postcode,postal code of the hospital,Others
412,taxi,rent cheap cabs to avoid traffic,taxi-leaveat,leaving time of taxi,Time
413,taxi,rent cheap cabs to avoid traffic,taxi-destination,destination of taxi,Location
414,taxi,rent cheap cabs to avoid traffic,taxi-departure,departure location of taxi,Location
415,taxi,rent cheap cabs to avoid traffic,taxi-arriveby,arrival time of taxi,Time
416,taxi,rent cheap cabs to avoid traffic,taxi-type,car type of the taxi,Category
417,taxi,rent cheap cabs to avoid traffic,taxi-phone,phone number of the taxi,Phone
418,bus,bus service for traveling,bus-departure,departure location of bus,Location
419,bus,bus service for traveling,bus-destination,destination of bus,Location
420,bus,bus service for traveling,bus-leaveat,leaving time of bus,Time
421,bus,bus service for traveling,bus-day,day to use the bus tickets,Day
422,police,police station,police-address,address of the police station,Location
423,police,police station,police-phone,phone number of the police station,Phone
424,police,police station,police-postcode,postal code of the police station,Others
425,police,police station,police-name,name of the police station,Name
