,domains,domains_descr,slots,slots_descr
339,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",genre,Type of the music
340,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",year,Year when the song was first released
341,Music_3,"A free, personalized platform that plays music you'll love. Discover new music and enjoy old favorites.",device,Place or name of the media player to play the song selected
342,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",payment_method,The source of money used for making the payment
343,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",amount,The amount of money to send or request
344,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",receiver,Name of the contact or account to make the transaction with
345,Payment_1,"The fast, simple way to pay in apps, on the web, and in millions of stores",private_visibility,Whether the transaction is private or not
346,RentalCars_3,A leading global provider of car rental solutions,car_type,Type of the car
347,RentalCars_3,A leading global provider of car rental solutions,car_name,Car model
348,RentalCars_3,A leading global provider of car rental solutions,pickup_location,Place to pick up the car
349,RentalCars_3,A leading global provider of car rental solutions,start_date,The first date to start using the rental car
350,RentalCars_3,A leading global provider of car rental solutions,pickup_time,Time for the pick-up
351,RentalCars_3,A leading global provider of car rental solutions,city,City where you want to rent the car
352,RentalCars_3,A leading global provider of car rental solutions,end_date,The date to return the car
353,RentalCars_3,A leading global provider of car rental solutions,price_per_day,The cost for renting the car per day
354,RentalCars_3,A leading global provider of car rental solutions,add_insurance,Whether to purchase insurance
355,Trains_1,Service to find and reserve train journeys between cities,from,Starting city for train journey
356,Trains_1,Service to find and reserve train journeys between cities,to,Ending city for train journey
357,Trains_1,Service to find and reserve train journeys between cities,from_station,Name of station at starting city
358,Trains_1,Service to find and reserve train journeys between cities,to_station,Name of station at ending city
359,Trains_1,Service to find and reserve train journeys between cities,date_of_journey,Date of train journey
360,Trains_1,Service to find and reserve train journeys between cities,journey_start_time,Time of start of train journey
361,Trains_1,Service to find and reserve train journeys between cities,total,Total price of train reservation
362,Trains_1,Service to find and reserve train journeys between cities,number_of_adults,Number of adults to reserve train tickets for
363,Trains_1,Service to find and reserve train journeys between cities,class,Fare class for train reservation
364,Trains_1,Service to find and reserve train journeys between cities,trip_protection,"Whether to add trip protection to reservation, for a fee"
365,hotel,hotel reservations and vacation stays,hotel-pricerange,price budget of the hotel
366,hotel,hotel reservations and vacation stays,hotel-type,what is the type of the hotel
367,hotel,hotel reservations and vacation stays,hotel-parking,whether the hotel has parking
368,hotel,hotel reservations and vacation stays,hotel-bookday,day of the hotel booking
369,hotel,hotel reservations and vacation stays,hotel-bookpeople,number of people for the hotel booking
370,hotel,hotel reservations and vacation stays,hotel-bookstay,length of stay at the hotel
371,hotel,hotel reservations and vacation stays,hotel-stars,star rating of the hotel
372,hotel,hotel reservations and vacation stays,hotel-internet,whether the hotel has internet
373,hotel,hotel reservations and vacation stays,hotel-name,name of the hotel
374,hotel,hotel reservations and vacation stays,hotel-area,area or place of the hotel
375,hotel,hotel reservations and vacation stays,hotel-address,address of the hotel
376,hotel,hotel reservations and vacation stays,hotel-phone,phone number of the hotel
377,hotel,hotel reservations and vacation stays,hotel-postcode,postal code of the hotel
378,hotel,hotel reservations and vacation stays,hotel-ref,reference number of the hotel booking
379,train,find trains that take you to places,train-arriveby,arrival time of the train
380,train,find trains that take you to places,train-departure,departure location of the train
381,train,find trains that take you to places,train-day,day of the train
382,train,find trains that take you to places,train-bookpeople,how many train tickets you need
383,train,find trains that take you to places,train-leaveat,leaving time for the train
384,train,find trains that take you to places,train-destination,destination of the train
385,train,find trains that take you to places,train-trainid,id of the train
386,train,find trains that take you to places,train-ref,reference number of the train booking
387,train,find trains that take you to places,train-price,price of the train
388,train,find trains that take you to places,train-duration,duration of the travel
389,attraction,find touristy stuff to do around you,attraction-area,area to search for attractions
390,attraction,find touristy stuff to do around you,attraction-name,name of the attraction
391,attraction,find touristy stuff to do around you,attraction-type,type of the attraction
392,attraction,find touristy stuff to do around you,attraction-entrancefee,how much is the entrance fee
393,attraction,find touristy stuff to do around you,attraction-openhours,open hours of the attraction
394,attraction,find touristy stuff to do around you,attraction-address,address of the attraction
395,attraction,find touristy stuff to do around you,attraction-phone,phone number of the attraction
396,attraction,find touristy stuff to do around you,attraction-postcode,postal code of the attraction
397,restaurant,find places to dine and whet your appetite,restaurant-pricerange,price budget for the restaurant
398,restaurant,find places to dine and whet your appetite,restaurant-area,area or place of the restaurant
399,restaurant,find places to dine and whet your appetite,restaurant-food,the cuisine of the restaurant you are looking for
400,restaurant,find places to dine and whet your appetite,restaurant-name,name of the restaurant
401,restaurant,find places to dine and whet your appetite,restaurant-bookday,day of the restaurant booking
402,restaurant,find places to dine and whet your appetite,restaurant-bookpeople,how many people for the restaurant reservation
403,restaurant,find places to dine and whet your appetite,restaurant-booktime,time of the restaurant booking
404,restaurant,find places to dine and whet your appetite,restaurant-address,address of the restaurant
405,restaurant,find places to dine and whet your appetite,restaurant-phone,phone number of the restaurant
406,restaurant,find places to dine and whet your appetite,restaurant-postcode,postal code of the restaurant
407,restaurant,find places to dine and whet your appetite,restaurant-ref,reference number of the restaurant booking
408,hospital,making you feel better when you are ill,hospital-department,type of medical care
409,hospital,making you feel better when you are ill,hospital-address,address of the hospital
410,hospital,making you feel better when you are ill,hospital-phone,phone number of the hospital
411,hospital,making you feel better when you are ill,hospital-postcode,postal code of the hospital
412,taxi,rent cheap cabs to avoid traffic,taxi-leaveat,leaving time of taxi
413,taxi,rent cheap cabs to avoid traffic,taxi-destination,destination of taxi
414,taxi,rent cheap cabs to avoid traffic,taxi-departure,departure location of taxi
415,taxi,rent cheap cabs to avoid traffic,taxi-arriveby,arrival time of taxi
416,taxi,rent cheap cabs to avoid traffic,taxi-type,car type of the taxi
417,taxi,rent cheap cabs to avoid traffic,taxi-phone,phone number of the taxi
418,bus,bus service for traveling,bus-departure,departure location of bus
419,bus,bus service for traveling,bus-destination,destination of bus
420,bus,bus service for traveling,bus-leaveat,leaving time of bus
421,bus,bus service for traveling,bus-day,day to use the bus tickets
422,police,police station,police-address,address of the police station
423,police,police station,police-phone,phone number of the police station
424,police,police station,police-postcode,postal code of the police station
425,police,police station,police-name,name of the police station
